AccusedMasterID,PersonID,AccusedName,AgeYear,GenderID,prior_offense_count,avg_crime_severity,max_crime_severity,recency_days,district,crime_head,co_accused_count,prior_arrest_count,is_repeat_offender,risk_score
39,P_0039,Imran Patil,48,2,1,1.0,1,608,Mysuru City,Theft,7,0,0,29.8
40,P_0040,Iqbal Patil,43,1,1,1.0,1,608,Mysuru City,Theft,7,1,0,29.8
41,P_0041,Deepa Naik,52,1,1,5.0,5,13,Hubballi-Dharwad,Homicide,8,0,0,73.0
42,P_0042,Mahmood Hegde (Leader),54,1,1,4.0,4,337,Belagavi,Robbery,4,0,0,46.3
43,P_0043,Ganesh Desai,31,1,1,2.0,2,479,Mangaluru City,Fraud,5,0,0,35.8
44,P_0044,Ganesh Shetty,25,1,1,4.0,4,48,Hubballi-Dharwad,Robbery,5,1,0,65.1
45,P_0045,Pooja Gowda,23,1,1,4.0,4,550,Belagavi,Narcotics,1,0,0,35.8
46,P_0046,Ayesha Prabhu,28,1,1,2.0,2,164,Belagavi,Fraud,5,0,0,46.8
47,P_0047,Rekha Kulkarni,21,2,1,4.0,4,48,Hubballi-Dharwad,Robbery,5,0,0,65.1
48,P_0048,Sudha Kamath,21,1,1,2.0,2,164,Belagavi,Fraud,5,0,0,46.8
49,P_0049,Vijayalakshmi Bhat,43,1,1,2.0,2,164,Belagavi,Fraud,5,0,0,46.8
50,P_0050,Fathima Mendes,30,1,1,2.0,2,479,Mangaluru City,Fraud,5,0,0,35.8
51,P_0051,Maria Reddy,33,2,1,2.0,2,164,Belagavi,Fraud,5,0,0,46.8
52,P_0052,Anand Naik,26,1,1,2.0,2,479,Mangaluru City,Fraud,5,0,0,35.8
53,P_0053,Manjunath Pinto,51,1,1,4.0,4,337,Belagavi,Robbery,4,0,0,46.3
54,P_0054,Sridhar D'Souza,45,2,1,4.0,4,337,Belagavi,Robbery,4,0,0,46.3
55,P_0055,Nataraj Sequeira,27,1,1,4.0,4,48,Hubballi-Dharwad,Robbery,5,0,0,65.1
56,P_0056,Manjula Fernandes,40,1,1,2.0,2,164,Belagavi,Fraud,5,0,0,46.8
57,P_0057,Santosh Kotian,41,1,1,2.0,2,479,Mangaluru City,Fraud,5,0,0,35.8
58,P_0058,Deepa Kulkarni,29,2,1,4.0,4,337,Belagavi,Robbery,4,1,0,46.3
59,P_0059,Sandra Jadhav,40,1,1,2.0,2,479,Mangaluru City,Fraud,5,1,0,35.8
60,P_0060,Harish Fernandes,50,1,1,4.0,4,550,Belagavi,Narcotics,1,0,0,35.8
61,P_0061,Nataraj D'Souza,48,1,1,4.0,4,48,Hubballi-Dharwad,Robbery,5,0,0,65.1
62,P_0062,Imran Sheikh,49,1,1,4.0,4,337,Belagavi,Robbery,4,0,0,46.3
63,P_0063,Sridhar Rao,43,2,1,2.0,2,479,Mangaluru City,Fraud,5,0,0,35.8
64,P_0064,Lakshmi Jadhav,50,2,1,2.0,2,164,Belagavi,Fraud,5,1,0,46.8
65,P_0065,Mahmood Hegde,22,1,1,4.0,4,48,Hubballi-Dharwad,Robbery,5,0,0,65.1
66,P_0066,Prakash Rathod,29,1,1,4.0,4,48,Hubballi-Dharwad,Robbery,5,0,0,65.1
67,P_0067,Nataraj D'Souza (Leader),53,1,1,3.0,3,423,Belagavi,Cybercrime,5,0,0,41.8
68,P_0068,Kavya Salian,55,1,1,4.0,4,382,Belagavi,Narcotics,2,1,0,38.8
69,P_0069,Vidya Shetty,46,1,1,3.0,3,81,Hubballi-Dharwad,Cybercrime,4,1,0,54.3
70,P_0070,Fathima Mendes,21,2,1,2.0,2,636,Belagavi,Fraud,3,0,0,29.8
71,P_0071,Pooja Gowda,24,1,1,3.0,3,423,Belagavi,Cybercrime,5,1,0,41.8
72,P_0072,Vinay Poojary,27,1,1,3.0,3,81,Hubballi-Dharwad,Cybercrime,4,1,0,54.3
73,P_0073,Roopa Bhat,39,2,1,3.0,3,423,Belagavi,Cybercrime,5,1,0,41.8
74,P_0074,Lawrence Prabhu,24,1,1,4.0,4,205,Hubballi-Dharwad,Narcotics,8,0,0,56.5
75,P_0075,Alphonsa Sheikh,53,1,1,3.0,3,423,Belagavi,Cybercrime,5,0,0,41.8
76,P_0076,Chandan Pujari,30,2,1,4.0,4,382,Belagavi,Narcotics,2,0,0,38.8
77,P_0077,Sudha Achar,30,1,1,4.0,4,382,Belagavi,Narcotics,2,0,0,38.8
78,P_0078,Pooja Kotian,21,2,1,4.0,4,205,Hubballi-Dharwad,Narcotics,8,1,0,56.5
79,P_0079,Nandini Setty,33,1,1,3.0,3,423,Belagavi,Cybercrime,5,0,0,41.8
80,P_0080,Shivakumar Gowda,30,1,1,3.0,3,81,Hubballi-Dharwad,Cybercrime,4,0,0,54.3
81,P_0081,Roopa Bhat,36,1,1,3.0,3,423,Belagavi,Cybercrime,5,0,0,41.8
82,P_0082,Joseph Salian,22,2,1,3.0,3,81,Hubballi-Dharwad,Cybercrime,4,1,0,54.3
83,P_0083,Mahmood Mendes,28,1,1,2.0,2,636,Belagavi,Fraud,3,0,0,29.8
84,P_0084,Mahmood Prabhu,32,1,1,2.0,2,636,Belagavi,Fraud,3,0,0,29.8
85,P_0085,Shweta Chavan (Leader),49,1,1,3.0,3,434,Bengaluru City,Cybercrime,5,0,0,41.8
86,P_0086,Maria Reddy,22,1,1,3.0,3,43,Belagavi,Cybercrime,8,0,0,59.4
87,P_0087,Vidya Naik,36,1,1,4.0,4,388,Belagavi,Robbery,4,0,0,44.8
88,P_0088,Joseph Salian,51,1,1,4.0,4,388,Belagavi,Robbery,4,0,0,44.8
89,P_0089,Fathima Mendes,27,2,1,3.0,3,434,Bengaluru City,Cybercrime,5,0,0,41.8
90,P_0090,Fathima Mendes,38,2,1,3.0,3,434,Bengaluru City,Cybercrime,5,0,0,41.8
91,P_0091,Vijayalakshmi Desai,27,2,1,3.0,3,43,Belagavi,Cybercrime,8,0,0,59.4
92,P_0092,Vidya Naik,48,1,1,3.0,3,43,Belagavi,Cybercrime,8,0,0,59.4
93,P_0093,Ganesh Shetty,50,1,1,3.0,3,588,Belagavi,Assault,3,1,0,35.8
94,P_0094,Deepa Naik,40,1,1,3.0,3,43,Belagavi,Cybercrime,8,0,0,59.4
95,P_0095,Bhagya Bhat,43,1,1,3.0,3,43,Belagavi,Cybercrime,8,0,0,59.4
96,P_0096,Basavaraj Hegde,50,1,1,3.0,3,43,Belagavi,Cybercrime,8,0,0,59.4
97,P_0097,Kiran Prabhu,43,1,1,3.0,3,588,Belagavi,Assault,3,1,0,35.8
98,P_0098,Nataraj Sequeira,54,2,1,3.0,3,434,Bengaluru City,Cybercrime,5,0,0,41.8
99,P_0099,Roopa Salian,30,1,1,3.0,3,588,Belagavi,Assault,3,0,0,35.8
100,P_0100,Pooja Gowda,29,1,1,3.0,3,434,Bengaluru City,Cybercrime,5,0,0,41.8
101,P_0101,Alphonsa Shetty,25,2,1,3.0,3,434,Bengaluru City,Cybercrime,5,1,0,41.8
102,P_0102,Joseph Salian,32,1,1,3.0,3,43,Belagavi,Cybercrime,8,1,0,59.4
103,P_0103,Vijayalakshmi Desai,41,1,1,4.0,4,388,Belagavi,Robbery,4,0,0,44.8
104,P_0104,Rashmi Hegde,23,1,1,3.0,3,43,Belagavi,Cybercrime,8,0,0,59.4
105,P_0105,Melwin Desai,27,1,1,4.0,4,388,Belagavi,Robbery,4,0,0,44.8
106,P_0106,Alphonsa Sheikh,51,1,1,3.0,3,43,Belagavi,Cybercrime,8,0,0,59.4
107,P_0107,Sowmya Naik,36,1,1,4.0,4,388,Belagavi,Robbery,4,1,0,44.8
108,P_0108,Nataraj Sequeira (Leader),47,1,1,4.0,4,140,Bengaluru City,Robbery,1,0,0,48.1
109,P_0109,Rashmi Sheikh,37,1,1,2.0,2,197,Bengaluru City,Fraud,6,0,0,45.0
110,P_0110,Suresh Sheikh,25,2,1,2.0,2,197,Bengaluru City,Fraud,6,0,0,45.0
111,P_0111,Arjun Bhat,22,1,1,1.0,1,493,Belagavi,Theft,5,0,0,29.8
112,P_0112,Pushpa Kulkarni,49,2,1,1.0,1,493,Belagavi,Theft,5,0,0,29.8
113,P_0113,Sudha Reddy,33,1,1,1.0,1,420,Bengaluru City,Theft,5,0,0,29.8
114,P_0114,Deepa Sequeira,49,1,1,1.0,1,493,Belagavi,Theft,5,1,0,29.8
115,P_0115,Sandra Jadhav,31,2,1,1.0,1,420,Bengaluru City,Theft,5,0,0,29.8
116,P_0116,Prakash Rathod,22,1,1,1.0,1,420,Bengaluru City,Theft,5,0,0,29.8
117,P_0117,Manjunath Pinto,29,1,1,1.0,1,420,Bengaluru City,Theft,5,0,0,29.8
118,P_0118,Praveen Rathod,47,1,1,1.0,1,493,Belagavi,Theft,5,0,0,29.8
119,P_0119,Shivakumar Sheikh,54,2,1,1.0,1,493,Belagavi,Theft,5,0,0,29.8
120,P_0120,Nagesh Fernandes,34,2,1,1.0,1,420,Bengaluru City,Theft,5,0,0,29.8
121,P_0121,Vijay Rathod,29,1,1,1.0,1,493,Belagavi,Theft,5,1,0,29.8
122,P_0122,Lakshmi Jadhav,45,1,1,4.0,4,140,Bengaluru City,Robbery,1,0,0,48.1
123,P_0123,Girish Desai,54,1,1,2.0,2,197,Bengaluru City,Fraud,6,1,0,45.0
124,P_0124,Imran Patil,52,1,1,2.0,2,197,Bengaluru City,Fraud,6,1,0,45.0
125,P_0125,Roopa Hegde (Leader),42,1,1,4.0,4,370,Mangaluru City,Robbery,5,0,0,47.8
126,P_0126,Ayesha Prabhu,39,1,1,3.0,3,257,Belagavi,Cybercrime,5,0,0,47.7
127,P_0127,Nagesh Pinto,43,1,1,4.0,4,310,Bengaluru City,Robbery,4,0,0,47.8
128,P_0128,Ganesh Shetty,25,1,1,3.0,3,257,Belagavi,Cybercrime,5,0,0,47.7
129,P_0129,Rashmi Sheikh,53,1,1,4.0,4,370,Mangaluru City,Robbery,5,0,0,47.8
130,P_0130,Kavya Salian,24,1,1,4.0,4,310,Bengaluru City,Robbery,4,0,0,47.8
131,P_0131,Joseph Salian,37,1,1,4.0,4,370,Mangaluru City,Robbery,5,1,0,47.8
132,P_0132,Kalpana Mendes,47,1,1,4.0,4,42,Mangaluru City,Narcotics,6,0,0,65.4
133,P_0133,Puneeth Bhat,24,1,1,3.0,3,257,Belagavi,Cybercrime,5,0,0,47.7
134,P_0134,Ravi Rathod,42,1,1,3.0,3,257,Belagavi,Cybercrime,5,0,0,47.7
135,P_0135,Harish Khan,25,1,1,3.0,3,257,Belagavi,Cybercrime,5,0,0,47.7
136,P_0136,Xavier Sequeira,47,1,1,3.0,3,10,Hubballi-Dharwad,Assault,1,0,0,49.2
137,P_0137,Mahmood Prabhu,29,1,1,4.0,4,370,Mangaluru City,Robbery,5,1,0,47.8
138,P_0138,Pushpa Kulkarni,23,2,1,4.0,4,42,Mangaluru City,Narcotics,6,0,0,65.4
139,P_0139,Sudha Achar,43,2,1,4.0,4,370,Mangaluru City,Robbery,5,0,0,47.8
140,P_0140,Harish Fernandes,35,1,1,4.0,4,310,Bengaluru City,Robbery,4,0,0,47.8
141,P_0141,Sowmya Desai,33,2,1,4.0,4,42,Mangaluru City,Narcotics,6,0,0,65.4
142,P_0142,Ravi Rathod,51,1,1,4.0,4,42,Mangaluru City,Narcotics,6,0,0,65.4
143,P_0143,Sowmya Naik,45,1,1,4.0,4,310,Bengaluru City,Robbery,4,1,0,47.8
144,P_0144,Vijayalakshmi Desai,48,1,1,4.0,4,310,Bengaluru City,Robbery,4,1,0,47.8
145,P_0145,Vinay Chavan,28,1,1,4.0,4,42,Mangaluru City,Narcotics,6,0,0,65.4
146,P_0146,Xavier Setty,42,2,1,3.0,3,10,Hubballi-Dharwad,Assault,1,0,0,49.2
147,P_0147,Rashmi Pinto,35,1,1,4.0,4,42,Mangaluru City,Narcotics,6,0,0,65.4
148,P_0148,Deepa Naik,35,2,1,4.0,4,370,Mangaluru City,Robbery,5,1,0,47.8
149,P_0149,Kalpana Shetty (Leader),23,1,1,3.0,3,89,Bengaluru City,Cybercrime,6,0,0,56.9
150,P_0150,Ramesh Bhat,24,1,1,3.0,3,89,Bengaluru City,Cybercrime,6,1,0,56.9
151,P_0151,Girish Desai,49,1,1,4.0,4,558,Mysuru City,Narcotics,6,0,0,47.8
152,P_0152,Bhagya Bhat,41,1,1,2.0,2,432,Mangaluru City,Fraud,8,1,0,35.8
153,P_0153,Manjunath Pujari,36,1,1,3.0,3,89,Bengaluru City,Cybercrime,6,1,0,56.9
154,P_0154,Arjun Bhat,46,2,1,4.0,4,558,Mysuru City,Narcotics,6,0,0,47.8
155,P_0155,Imran Patil,25,1,1,3.0,3,89,Bengaluru City,Cybercrime,6,0,0,56.9
156,P_0156,Vishwanath Fernandes,34,2,1,2.0,2,432,Mangaluru City,Fraud,8,0,0,35.8
157,P_0157,Antony Pinto,43,1,1,3.0,3,89,Bengaluru City,Cybercrime,6,0,0,56.9
158,P_0158,Imran Jadhav,40,1,1,2.0,2,432,Mangaluru City,Fraud,8,0,0,35.8
159,P_0159,Iqbal Bhat,36,1,1,3.0,3,89,Bengaluru City,Cybercrime,6,0,0,56.9
160,P_0160,Vijayalakshmi Desai,55,1,1,2.0,2,432,Mangaluru City,Fraud,8,1,0,35.8
161,P_0161,Basavaraj Shetty,47,2,1,4.0,4,558,Mysuru City,Narcotics,6,0,0,47.8
162,P_0162,Arjun D'Souza,34,1,1,2.0,2,432,Mangaluru City,Fraud,8,0,0,35.8
163,P_0163,Melwin Desai,40,1,1,3.0,3,89,Bengaluru City,Cybercrime,6,0,0,56.9
164,P_0164,Naseema Rao,30,1,1,4.0,4,558,Mysuru City,Narcotics,6,0,0,47.8
165,P_0165,Vijayalakshmi Desai,49,2,1,4.0,4,558,Mysuru City,Narcotics,6,0,0,47.8
166,P_0166,Suresh Kotian,52,1,1,4.0,4,558,Mysuru City,Narcotics,6,0,0,47.8
167,P_0167,Rajesh Gowda,45,1,1,2.0,2,432,Mangaluru City,Fraud,8,0,0,35.8
168,P_0168,Mahmood Mendes,38,2,1,4.0,4,558,Mysuru City,Narcotics,6,0,0,47.8
169,P_0169,Suresh Kotian,45,2,1,2.0,2,432,Mangaluru City,Fraud,8,1,0,35.8
170,P_0170,Bhagya Bhat,35,1,1,2.0,2,432,Mangaluru City,Fraud,8,0,0,35.8
171,P_0171,Shivakumar Sheikh,48,1,1,2.0,2,432,Mangaluru City,Fraud,8,0,0,35.8
172,P_0172,Sudha Kamath (Leader),55,1,1,5.0,5,422,Mangaluru City,Homicide,4,0,0,50.8
173,P_0173,Roopa Achar,42,1,1,5.0,5,422,Mangaluru City,Homicide,4,0,0,50.8
174,P_0174,Anitha Pinto,22,1,1,2.0,2,585,Mangaluru City,Fraud,4,1,0,32.8
175,P_0175,Santosh Kotian,48,1,1,2.0,2,585,Mangaluru City,Fraud,4,0,0,32.8
176,P_0176,Ravi Rathod,45,1,1,5.0,5,422,Mangaluru City,Homicide,4,0,0,50.8
177,P_0177,Mahmood Hegde,48,1,1,2.0,2,585,Mangaluru City,Fraud,4,1,0,32.8
178,P_0178,Girish Ballal,50,1,1,4.0,4,191,Belagavi,Robbery,2,0,0,48.3
179,P_0179,Roopa Achar,21,1,1,4.0,4,191,Belagavi,Robbery,2,1,0,48.3
180,P_0180,Arjun D'Souza,36,1,1,4.0,4,193,Belagavi,Narcotics,6,0,0,57.2
181,P_0181,Manjula Khan,46,1,1,4.0,4,193,Belagavi,Narcotics,6,0,0,57.2
182,P_0182,Rajesh Gowda,44,1,1,2.0,2,585,Mangaluru City,Fraud,4,0,0,32.8
183,P_0183,Nataraj D'Souza,21,1,1,4.0,4,193,Belagavi,Narcotics,6,0,0,57.2
184,P_0184,Antony Rathod,41,1,1,4.0,4,193,Belagavi,Narcotics,6,1,0,57.2
185,P_0185,Vinay Chavan,50,1,1,4.0,4,191,Belagavi,Robbery,2,0,0,48.3
186,P_0186,Deepa Naik,50,1,1,3.0,3,97,Mangaluru City,Assault,1,0,0,44.4
187,P_0187,Mahmood Prabhu,34,2,1,4.0,4,193,Belagavi,Narcotics,6,1,0,57.2
188,P_0188,Rashmi Poojary,26,1,1,5.0,5,422,Mangaluru City,Homicide,4,0,0,50.8
189,P_0189,Ravi Rathod,41,1,1,2.0,2,585,Mangaluru City,Fraud,4,0,0,32.8
190,P_0190,Shivakumar Sheikh,37,1,1,3.0,3,97,Mangaluru City,Assault,1,0,0,44.4
191,P_0191,Anitha Kamath (Leader),35,1,1,5.0,5,231,Belagavi,Homicide,9,1,0,61.1
192,P_0192,Joseph Kulkarni,24,1,1,5.0,5,231,Belagavi,Homicide,9,0,0,61.1
193,P_0193,Manjunath Pujari,23,1,1,5.0,5,231,Belagavi,Homicide,9,0,0,61.1
194,P_0194,Deepa Kotian,49,1,1,4.0,4,205,Hubballi-Dharwad,Narcotics,8,1,0,56.5
195,P_0195,Ravi Rathod,35,1,1,5.0,5,231,Belagavi,Homicide,9,0,0,61.1
196,P_0196,Anitha Kamath,37,1,1,4.0,4,205,Hubballi-Dharwad,Narcotics,8,1,0,56.5
197,P_0197,Suresh Sheikh,43,1,1,4.0,4,205,Hubballi-Dharwad,Narcotics,8,1,0,56.5
198,P_0198,Rashmi Pinto,43,1,1,4.0,4,205,Hubballi-Dharwad,Narcotics,8,0,0,56.5
199,P_0199,Deepa Kotian,49,1,1,5.0,5,231,Belagavi,Homicide,9,0,0,61.1
200,P_0200,Xavier Sequeira,36,1,1,4.0,4,205,Hubballi-Dharwad,Narcotics,8,0,0,56.5
201,P_0201,Manjula Khan,44,2,1,4.0,4,413,Belagavi,Narcotics,7,1,0,47.8
202,P_0202,Sowmya Sheikh,48,1,1,5.0,5,231,Belagavi,Homicide,9,0,0,61.1
203,P_0203,Sowmya Desai,41,1,1,5.0,5,231,Belagavi,Homicide,9,1,0,61.1
204,P_0204,Prakash Setty,44,2,1,4.0,4,413,Belagavi,Narcotics,7,0,0,47.8
205,P_0205,Kavya Salian,22,1,1,4.0,4,413,Belagavi,Narcotics,7,0,0,47.8
206,P_0206,Bhagya Bhat,39,1,1,4.0,4,413,Belagavi,Narcotics,7,0,0,47.8
207,P_0207,Sowmya Desai,27,1,1,4.0,4,205,Hubballi-Dharwad,Narcotics,8,0,0,56.5
208,P_0208,Ravi Sequeira,53,1,1,4.0,4,413,Belagavi,Narcotics,7,0,0,47.8
209,P_0209,Girish Ballal,23,1,1,5.0,5,231,Belagavi,Homicide,9,1,0,61.1
210,P_0210,Vijay Shetty,26,1,1,4.0,4,413,Belagavi,Narcotics,7,0,0,47.8
211,P_0211,Antony Rathod,53,2,1,5.0,5,231,Belagavi,Homicide,9,1,0,61.1
212,P_0212,Sandra Setty,28,1,1,4.0,4,205,Hubballi-Dharwad,Narcotics,8,0,0,56.5
213,P_0213,Arjun Bhat (Leader),41,1,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
214,P_0214,Shweta Chavan,39,1,1,4.0,4,248,Hubballi-Dharwad,Narcotics,9,0,0,54.2
215,P_0215,Ramesh Bhat,44,1,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
216,P_0216,Naveen Sheikh,28,1,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
217,P_0217,Sandra Setty,47,1,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
218,P_0218,Vijay Rathod,53,1,1,4.0,4,248,Hubballi-Dharwad,Narcotics,9,1,0,54.2
219,P_0219,Manjunath Pujari,51,1,1,5.0,5,291,Mysuru City,Homicide,12,1,0,57.8
220,P_0220,Nataraj D'Souza,47,1,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
221,P_0221,Rekha Salian,36,2,1,4.0,4,248,Hubballi-Dharwad,Narcotics,9,0,0,54.2
222,P_0222,Arjun Bhat,37,1,1,4.0,4,248,Hubballi-Dharwad,Narcotics,9,0,0,54.2
223,P_0223,Naveen Sheikh,28,1,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
224,P_0224,Lakshmi Desai,53,1,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
225,P_0225,Gopal Fernandes,33,1,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
226,P_0226,Deepa Naik,31,1,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
227,P_0227,Anitha Kamath,51,1,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
228,P_0228,Joseph Kulkarni,23,2,1,4.0,4,248,Hubballi-Dharwad,Narcotics,9,0,0,54.2
229,P_0229,Nandini Setty,31,1,1,4.0,4,248,Hubballi-Dharwad,Narcotics,9,0,0,54.2
230,P_0230,Ravi Sequeira,54,2,1,4.0,4,248,Hubballi-Dharwad,Narcotics,9,0,0,54.2
231,P_0231,Vijay Rathod,29,2,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
232,P_0232,Imran Jadhav,39,1,1,4.0,4,248,Hubballi-Dharwad,Narcotics,9,0,0,54.2
233,P_0233,Deepa Desai,42,1,1,5.0,5,291,Mysuru City,Homicide,12,0,0,57.8
234,P_0234,Xavier Sequeira,43,2,1,4.0,4,248,Hubballi-Dharwad,Narcotics,9,0,0,54.2
235,P_0235,Roopa Achar (Leader),49,2,1,1.0,1,27,Hubballi-Dharwad,Theft,7,0,0,48.3
236,P_0236,Vidya Shetty,51,1,1,4.0,4,584,Mysuru City,Narcotics,6,0,0,47.8
237,P_0237,Shivakumar Sheikh,53,1,1,1.0,1,27,Hubballi-Dharwad,Theft,7,0,0,48.3
238,P_0238,Deepa Desai,21,1,1,4.0,4,97,Mangaluru City,Narcotics,10,1,0,62.4
239,P_0239,Manjunath Pujari,50,2,1,1.0,1,27,Hubballi-Dharwad,Theft,7,0,0,48.3
240,P_0240,Vinay Chavan,32,1,1,4.0,4,584,Mysuru City,Narcotics,6,1,0,47.8
241,P_0241,Melwin Desai,40,2,1,4.0,4,97,Mangaluru City,Narcotics,10,1,0,62.4
242,P_0242,Roopa Hegde,54,2,1,4.0,4,584,Mysuru City,Narcotics,6,0,0,47.8
243,P_0243,Bhagya Mendes,45,1,1,4.0,4,584,Mysuru City,Narcotics,6,0,0,47.8
244,P_0244,Maria Reddy,23,1,1,4.0,4,97,Mangaluru City,Narcotics,10,0,0,62.4
245,P_0245,Chandan Pujari,38,1,1,4.0,4,584,Mysuru City,Narcotics,6,0,0,47.8
246,P_0246,Basavaraj Shetty,39,1,1,4.0,4,97,Mangaluru City,Narcotics,10,0,0,62.4
247,P_0247,Ganesh Shetty,38,2,1,4.0,4,97,Mangaluru City,Narcotics,10,0,0,62.4
248,P_0248,Sudha Achar,31,1,1,4.0,4,584,Mysuru City,Narcotics,6,0,0,47.8
249,P_0249,Arjun Bhat,27,1,1,4.0,4,584,Mysuru City,Narcotics,6,1,0,47.8
250,P_0250,Rajesh Gowda,30,1,1,1.0,1,27,Hubballi-Dharwad,Theft,7,0,0,48.3
251,P_0251,Ravi Rathod,53,1,1,4.0,4,97,Mangaluru City,Narcotics,10,0,0,62.4
252,P_0252,Manjula Fernandes,23,1,1,4.0,4,97,Mangaluru City,Narcotics,10,0,0,62.4
253,P_0253,Deepa Sequeira,22,1,1,4.0,4,97,Mangaluru City,Narcotics,10,1,0,62.4
254,P_0254,Ganesh Shetty,48,2,1,4.0,4,97,Mangaluru City,Narcotics,10,1,0,62.4
255,P_0255,Girish Desai,50,1,1,1.0,1,27,Hubballi-Dharwad,Theft,7,0,0,48.3
